swing_type,swing_time,swing_price,confirmed_time
HIGH,2024-07-16 13:00:00+01:00,1.0907504558563232,2024-07-16 18:00:00+01:00
LOW,2024-07-16 14:00:00+01:00,1.0875475406646729,2024-07-16 19:00:00+01:00
LOW,2024-07-17 08:00:00+01:00,1.0897995233535767,2024-07-17 13:00:00+01:00
HIGH,2024-07-17 14:00:00+01:00,1.09505033493042,2024-07-17 19:00:00+01:00
LOW,2024-07-17 17:00:00+01:00,1.0927767753601074,2024-07-17 22:00:00+01:00
HIGH,2024-07-18 00:00:00+01:00,1.0944511890411377,2024-07-18 05:00:00+01:00
LOW,2024-07-19 19:00:00+01:00,1.087902545928955,2024-07-22 01:00:00+01:00
HIGH,2024-07-22 00:00:00+01:00,1.0906314849853516,2024-07-22 05:00:00+01:00
LOW,2024-07-22 07:00:00+01:00,1.0882576704025269,2024-07-22 12:00:00+01:00
HIGH,2024-07-22 10:00:00+01:00,1.0897995233535767,2024-07-22 15:00:00+01:00
LOW,2024-07-22 15:00:00+01:00,1.0876659154891968,2024-07-22 20:00:00+01:00
HIGH,2024-07-23 04:00:00+01:00,1.0899182558059692,2024-07-23 09:00:00+01:00
LOW,2024-07-23 15:00:00+01:00,1.0847163200378418,2024-07-23 20:00:00+01:00
HIGH,2024-07-24 06:00:00+01:00,1.0856584310531616,2024-07-24 11:00:00+01:00
LOW,2024-07-24 09:00:00+01:00,1.0829542875289917,2024-07-24 14:00:00+01:00
HIGH,2024-07-24 15:00:00+01:00,1.08695650100708,2024-07-24 20:00:00+01:00
LOW,2024-07-24 22:00:00+01:00,1.0836584568023682,2024-07-25 03:00:00+01:00
LOW,2024-07-25 08:00:00+01:00,1.0831888914108276,2024-07-25 13:00:00+01:00
LOW,2024-07-25 14:00:00+01:00,1.0834236145019531,2024-07-25 19:00:00+01:00
HIGH,2024-07-25 18:00:00+01:00,1.0871928930282593,2024-07-25 23:00:00+01:00
LOW,2024-07-25 22:00:00+01:00,1.0840108394622803,2024-07-26 03:00:00+01:00
LOW,2024-07-26 09:00:00+01:00,1.0845986604690552,2024-07-26 14:00:00+01:00
HIGH,2024-07-26 15:00:00+01:00,1.087074637413025,2024-07-26 20:00:00+01:00
LOW,2024-07-29 01:00:00+01:00,1.0854227542877197,2024-07-29 06:00:00+01:00
HIGH,2024-07-29 03:00:00+01:00,1.087311029434204,2024-07-29 08:00:00+01:00
LOW,2024-07-29 15:00:00+01:00,1.0806137323379517,2024-07-29 20:00:00+01:00
HIGH,2024-07-29 18:00:00+01:00,1.0829542875289917,2024-07-29 23:00:00+01:00
HIGH,2024-07-30 11:00:00+01:00,1.0838934183120728,2024-07-30 16:00:00+01:00
HIGH,2024-07-31 04:00:00+01:00,1.0833063125610352,2024-07-31 09:00:00+01:00
LOW,2024-07-31 09:00:00+01:00,1.0810810327529907,2024-07-31 14:00:00+01:00
HIGH,2024-07-31 14:00:00+01:00,1.0851871967315674,2024-07-31 19:00:00+01:00
LOW,2024-07-31 19:00:00+01:00,1.0807305574417114,2024-08-01 00:00:00+01:00
HIGH,2024-08-01 05:00:00+01:00,1.0837758779525757,2024-08-01 10:00:00+01:00
HIGH,2024-08-01 15:00:00+01:00,1.0821340084075928,2024-08-01 20:00:00+01:00
LOW,2024-08-01 22:00:00+01:00,1.0781670808792114,2024-08-02 03:00:00+01:00
HIGH,2024-08-02 15:00:00+01:00,1.0928961038589478,2024-08-02 20:00:00+01:00
LOW,2024-08-05 00:00:00+01:00,1.090869426727295,2024-08-05 05:00:00+01:00
LOW,2024-08-05 07:00:00+01:00,1.089680790901184,2024-08-05 12:00:00+01:00
HIGH,2024-08-05 13:00:00+01:00,1.1009578704833984,2024-08-05 18:00:00+01:00
HIGH,2024-08-06 22:00:00+01:00,1.0937328338623047,2024-08-07 03:00:00+01:00
HIGH,2024-08-07 16:00:00+01:00,1.0938525199890137,2024-08-07 21:00:00+01:00
HIGH,2024-08-08 08:00:00+01:00,1.0948106050491333,2024-08-08 13:00:00+01:00
LOW,2024-08-08 14:00:00+01:00,1.0886130332946777,2024-08-08 19:00:00+01:00
HIGH,2024-08-08 21:00:00+01:00,1.0922993421554565,2024-08-09 02:00:00+01:00
HIGH,2024-08-09 08:00:00+01:00,1.093135118484497,2024-08-09 13:00:00+01:00
HIGH,2024-08-09 15:00:00+01:00,1.0933741331100464,2024-08-09 20:00:00+01:00
LOW,2024-08-12 15:00:00+01:00,1.0918222665786743,2024-08-12 20:00:00+01:00
HIGH,2024-08-12 16:00:00+01:00,1.0942115783691406,2024-08-12 21:00:00+01:00
HIGH,2024-08-13 06:00:00+01:00,1.0944511890411377,2024-08-13 11:00:00+01:00
LOW,2024-08-13 10:00:00+01:00,1.0918222665786743,2024-08-13 15:00:00+01:00
